river,event_type,dist_out_position_km,date
ANJOBONY,avulsion,106.062,2008-01
ANJOBONY,avulsion,120.992,2018-01
ARG_LAKE_2,avulsion,53.143,2007-07
ARG_LAKE_2,crevasse_splay,75.349,2016-06
ARG_LAKE_2,crevasse_splay,59.679,2016-12
ARG_LAKE_2,avulsion,174.359,2017-03
B14_2,avulsion,3639.77,2014-06
B14_2,crevasse_splay,3663.521,2014-04
B14_2,avulsion,3738.212,2015-06
BEMARIVO,avulsion,155.011,2008-02
BEMARIVO,avulsion,152.611,2018-01
COLOMBIA_2011_2,crevasse_splay,475.626,2011-03
COLOMBIA_2011_2,crevasse_splay,459.211,2011-03
COLOMBIA_2011_2,crevasse_splay,452.813,2021-09
LILONGWE,avulsion,823.914,2014-01
MANGOKY,avulsion,12.117,2007-03
MANGOKY,crevasse_splay,38.67,2007-03
MANGOKY,crevasse_splay,36.446,2013-03
MANGOKY,crevasse_splay,36.041,2015-01
MANGOKY,avulsion,43.484,2020-01
MUSA,crevasse_splay,122.335,2021-01
RUVU_2,avulsion,114.183,2017-04
RUVU_2,avulsion,54.009,2017-04
RUVU_2,crevasse_splay,152.104,2018-02
TURKWEL,avulsion,687.012,2019-12
V11_2,crevasse_splay,1885.788,2011-02
V11_2,crevasse_splay,1932.642,2017-05
V11_2,crevasse_splay,1865.705,2022-01
V7_2,avulsion,2112.314,1991-04
V7_2,crevasse_splay,2107.531,2021-08
V7_2,crevasse_splay,2126.913,2022-07
VENEZ_2022_N,avulsion,48.2,2011-03
VENEZ_2022_N,crevasse_splay,8.969,2017-09
VENEZ_2022_N,crevasse_splay,26.786,2018-11
VENEZ_2022_N,crevasse_splay,24.213,2021-01
VENEZ_2022_N,avulsion,44.194,2022-06
VENEZ_2023,avulsion,178.286,2022-05